"Horodateur","Sexe","Age","Code postal","Votre métier a-t-il un lien avec le littoral ?","À votre avis, la frontière entre l'eau et la terre (plage, bord du littoral...) se déplace-t-elle ?","D'après vous, qu'est-ce qui cause ces changements ? (plusieurs réponses possibles)","Pensez-vous être directement concerné(e) par les risques de submersion ?","Pratiquez-vous une activité nautique ?","Pensez-vous qu'un phénomène de montée des eaux s'est déjà produit par le passé ?","Selon vous, la montée des eaux peut-elle être contrôlée par l'humain (ex : par le biais de constructions, etc.) ?","Connaissez vous le laboratoire ""Laboratoire Géosciences Océan"" (LGO) situé à Vannes http://www.laboratoire-geosciences-ocean-ubs.fr/ ?","Souhaiteriez-vous être mieux informé au sujet de la montée des eaux et de l'évolution du littoral ?","Par quel(s) moyen(s) aimeriez-vous en apprendre plus ?"
"2020/10/13 8:38:47 AM UTC+1","Homme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Oui","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Vidéo"
"2020/10/13 8:57:55 AM UTC+1","Femme","16 à 29 ans","56800","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales","Site web;Vidéo"
"2020/10/13 9:03:16 AM UTC+1","Femme","16 à 29 ans","56000","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Oui","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Site web;Dépliant;Exposition;Vidéo"
"2020/10/13 9:03:20 AM UTC+1","Femme","16 à 29 ans","44000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Non","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Exposition;Vidéo;Pourquoi pas carrément faire une revue (sur papier comme en pdf)"
"2020/10/13 9:15:05 AM UTC+1","Femme","16 à 29 ans","56000","Non","Oui, elle se déplace","Changements climatiques","Non","Non","Oui","Oui","Non","Oui, informations générales","Application sur smartphone;Site web"
"2020/10/13 9:19:45 AM UTC+1","Femme","16 à 29 ans","29000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Oui","Non","Non","Oui, informations générales","Application sur smartphone;Site web;Dépliant"
"2020/10/13 9:23:26 AM UTC+1","Femme","30 à 49 ans","56860","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Oui","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Exposition;Vidéo"
"2020/10/13 9:33:07 AM UTC+1","Femme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Oui","Oui, informations générales","Site web;Exposition;Vidéo"
"2020/10/13 9:37:31 AM UTC+1","Homme","30 à 49 ans","92190","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations techniques (instruments de mesure, etc.)","Site web"
"2020/10/13 9:39:45 AM UTC+1","Femme","16 à 29 ans","56690","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Oui","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Vidéo"
"2020/10/13 9:42:23 AM UTC+1","Homme","30 à 49 ans","98890","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Oui","Non","Non","Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone"
"2020/10/13 9:48:50 AM UTC+1","Femme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Je ne sais pas","Non","Oui","Oui","Oui","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Vidéo"
"2020/10/13 9:50:36 AM UTC+1","Femme","30 à 49 ans","56680 ","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Oui","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web"
"2020/10/13 9:59:48 AM UTC+1","Femme","16 à 29 ans","56500","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Je ne sais pas","Non","Oui, informations générales","Exposition;Vidéo"
"2020/10/13 10:02:13 AM UTC+1","Homme","30 à 49 ans","56100","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Oui","Oui","Oui, informations générales","Site web;Exposition"
"2020/10/13 10:02:36 AM UTC+1","Homme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Non","Exposition"
"2020/10/13 10:22:02 AM UTC+1","Femme","16 à 29 ans","56500","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Je ne sais pas","Oui","Non","Oui, informations générales","Site web"
"2020/10/13 10:23:23 AM UTC+1","Femme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Je ne sais pas","Oui","Non","Oui, informations générales","Vidéo"
"2020/10/13 10:32:51 AM UTC+1","Femme","16 à 29 ans","44000","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Oui","Oui, informations générales","Site web;Stand;Exposition"
"2020/10/13 10:35:45 AM UTC+1","Femme","16 à 29 ans","44800","Non","Oui, elle se déplace","Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales","Application sur smartphone"
"2020/10/13 10:57:51 AM UTC+1","Femme","16 à 29 ans","56000","Non","Non, elle reste fixe","Activités humaines;Changements climatiques","Oui","Non","Oui","Non","Non","Oui, informations générales","Application sur smartphone;Site web;Vidéo"
"2020/10/13 11:02:24 AM UTC+1","Homme","> 65 ans","56270","Non","Oui, elle se déplace","Phénomènes naturels","Oui","Oui","Oui","Non","Oui","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Site web"
"2020/10/13 11:32:28 AM UTC+1","Femme","16 à 29 ans","44230","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Non","Oui, informations générales","Site web;Dépliant"
"2020/10/13 11:44:50 AM UTC+1","Femme","50 à 64 ans","29710","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Je ne sais pas","Je ne sais pas","Non","Oui, informations générales","Site web;Exposition;Vidéo"
"2020/10/13 11:47:37 AM UTC+1","Homme","30 à 49 ans","44680","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Oui","Non","Oui","Oui, informations générales","Site web"
"2020/10/13 12:04:53 PM UTC+1","Femme","16 à 29 ans","56140","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Je ne sais pas","Oui","Non","Oui, informations générales","Site web;Vidéo"
"2020/10/13 12:06:07 PM UTC+1","Homme","16 à 29 ans","56000","Non","Oui, elle se déplace","Activités humaines;Changements climatiques","Oui","Non","Oui","Je ne sais pas","Non","Oui, informations générales","Site web;Vidéo"
"2020/10/13 12:08:35 PM UTC+1","Femme","16 à 29 ans","56400","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Non","Oui","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Stand;Dépliant;Exposition;Vidéo"
"2020/10/13 12:27:50 PM UTC+1","Femme","16 à 29 ans","56330","Non","Je ne sais pas","Phénomènes naturels;Activités humaines","Non","Non","Oui","Non","Non","Non","Application sur smartphone"
"2020/10/13 12:28:19 PM UTC+1","Femme","16 à 29 ans","56000","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Non","Oui","Oui, informations générales","Stand;Exposition;Vidéo"
"2020/10/13 12:42:57 PM UTC+1","Femme","16 à 29 ans","56860","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Je ne sais pas","Non","Oui","Oui","Oui","Oui, informations générales","Site web;Dépliant;Exposition"
"2020/10/13 1:02:12 PM UTC+1","Femme","50 à 64 ans","29710","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Je ne sais pas","Oui","Non","Non","Exposition"
"2020/10/13 1:08:27 PM UTC+1","Homme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Site web;Exposition;Vidéo"
"2020/10/13 1:12:15 PM UTC+1","Homme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Stand;Exposition;Vidéo"
"2020/10/13 1:16:31 PM UTC+1","Homme","16 à 29 ans","56860","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Je ne sais pas","Oui","Oui","Je ne sais pas","Non","Oui, informations générales","Site web;Stand;Vidéo"
"2020/10/13 1:19:55 PM UTC+1","Homme","16 à 29 ans","56400","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales","Site web;Exposition;Vidéo"
"2020/10/13 1:43:49 PM UTC+1","Femme","16 à 29 ans","56000","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Stand;Dépliant;Vidéo"
"2020/10/13 1:50:15 PM UTC+1","Homme","16 à 29 ans","56250","Non","Oui, elle se déplace","Phénomènes naturels;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales","Application sur smartphone;Exposition;Vidéo"
"2020/10/13 1:50:37 PM UTC+1","Homme","> 65 ans","29120","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Oui","Non","Oui, informations générales","Site web;Vidéo"
"2020/10/13 2:04:00 PM UTC+1","Femme","50 à 64 ans","56100","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Oui","Non","Non","Non","Exposition;Vidéo"
"2020/10/13 2:07:33 PM UTC+1","Homme","16 à 29 ans","56610","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Oui","Oui, informations générales","Des articles réguliers sur les reseaux sociaux"
"2020/10/13 2:09:16 PM UTC+1","Femme","16 à 29 ans","29000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Oui","Non","Oui, informations générales","Application sur smartphone"
"2020/10/13 2:09:53 PM UTC+1","Femme","16 à 29 ans","56000","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Non","Oui","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Exposition;Vidéo"
"2020/10/13 2:11:02 PM UTC+1","Femme","16 à 29 ans","56700","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Je ne sais pas","Oui","Oui, informations générales","Site web"
"2020/10/13 2:12:59 PM UTC+1","Femme","16 à 29 ans","29940","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Oui","Oui, informations générales","Application sur smartphone;Dépliant;Exposition"
"2020/10/13 2:14:19 PM UTC+1","Homme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Non","Non","Oui, informations générales","Vidéo"
"2020/10/13 2:14:58 PM UTC+1","Femme","> 65 ans","56680","Non","Oui, elle se déplace","Phénomènes naturels;Changements climatiques","Oui","Oui","Oui","Oui","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Exposition;Vidéo"
"2020/10/13 2:16:47 PM UTC+1","Homme","16 à 29 ans","56390","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Non","Oui","Oui, informations générales","Application sur smartphone;Site web;Vidéo"
"2020/10/13 2:20:40 PM UTC+1","Femme","16 à 29 ans","518000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Oui","Non","Oui, informations générales","Site web;Stand;Exposition;Vidéo"
"2020/10/13 2:24:20 PM UTC+1","Femme","16 à 29 ans","22530","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Oui","Non","Non","Oui, informations générales","Exposition;Vidéo"
"2020/10/13 2:24:53 PM UTC+1","Femme","16 à 29 ans","56320","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Je ne sais pas","Non","Oui","Oui","Non","Oui, informations générales","Application sur smartphone;Site web"
"2020/10/13 2:26:35 PM UTC+1","Homme","16 à 29 ans","29750","Oui","Oui, elle se déplace","Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Non","Oui, informations générales","Dépliant;affiches, bandroles"
"2020/10/13 2:32:54 PM UTC+1","Homme","16 à 29 ans","62100","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Non","Oui","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Site web;Vidéo"
"2020/10/13 2:37:48 PM UTC+1","Homme","16 à 29 ans","62100","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines","Oui","Non","Je ne sais pas","Non","Non","Oui, informations générales","Post plus ou moins rapide via réseau sociaux "
"2020/10/13 2:38:12 PM UTC+1","Homme","16 à 29 ans","35700","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Oui","Non","Oui, informations techniques (instruments de mesure, etc.)","Site web;Vidéo"
"2020/10/13 2:43:41 PM UTC+1","Femme","16 à 29 ans","29200","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Oui","Oui","Oui, informations générales","Site web;Vidéo"
"2020/10/13 2:49:56 PM UTC+1","Femme","16 à 29 ans","56400","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Non","Non","Oui, informations générales","Site web;Vidéo"
"2020/10/13 2:50:41 PM UTC+1","Homme","16 à 29 ans","35700","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales","Vidéo"
"2020/10/13 2:51:00 PM UTC+1","Homme","16 à 29 ans","35000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Non","Non","Oui, informations générales","Site web;Exposition"
"2020/10/13 2:54:05 PM UTC+1","Femme","16 à 29 ans","84120","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Non","Oui","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Exposition"
"2020/10/13 2:58:35 PM UTC+1","Homme","16 à 29 ans","35000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Oui","Non","Oui, informations générales","Vidéo"
"2020/10/13 3:08:03 PM UTC+1","Femme","16 à 29 ans","50170","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Oui","Non","Oui, informations générales","Site web"
"2020/10/13 3:14:22 PM UTC+1","Femme","30 à 49 ans","44240","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Oui","Non","Oui","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Exposition;Vidéo"
"2020/10/13 3:21:26 PM UTC+1","Homme","16 à 29 ans","56800","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Oui","Non","Site web;Vidéo"
"2020/10/13 3:23:00 PM UTC+1","Homme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Oui","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Exposition"
"2020/10/13 3:28:52 PM UTC+1","Femme","30 à 49 ans","66410","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Oui","Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Site web;Vidéo"
"2020/10/13 3:41:06 PM UTC+1","Homme","16 à 29 ans","56400","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Site web;Exposition"
"2020/10/13 3:44:50 PM UTC+1","Homme","16 à 29 ans","29730","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Oui","Non","Oui, informations générales","Application sur smartphone;Site web;Exposition"
"2020/10/13 3:48:49 PM UTC+1","Homme","16 à 29 ans","56300","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Oui","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Vidéo"
"2020/10/13 3:51:54 PM UTC+1","Femme","> 65 ans","75011","Non","Oui, elle se déplace","Phénomènes naturels;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales","Dépliant"
"2020/10/13 4:08:55 PM UTC+1","Femme","16 à 29 ans","56330","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales","Site web;Dépliant"
"2020/10/13 4:10:47 PM UTC+1","Femme","16 à 29 ans","56","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Oui","Non","Oui, informations générales","Site web;Vidéo"
"2020/10/13 4:18:11 PM UTC+1","Homme","30 à 49 ans","56860","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Oui","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Exposition;Vidéo"
"2020/10/13 4:21:53 PM UTC+1","Femme","30 à 49 ans","56220","Non","Oui, elle se déplace","Activités humaines;Changements climatiques","Non","Oui","Je ne sais pas","Oui","Non","Oui, informations générales","Exposition"
"2020/10/13 4:38:52 PM UTC+1","Femme","30 à 49 ans","33290","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Je ne sais pas","Non","Je ne sais pas","Je ne sais pas","Non","Non","Vidéo"
"2020/10/13 4:40:58 PM UTC+1","Homme","16 à 29 ans","35370","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Oui","Non","Oui","Oui, informations générales","Site web;Exposition;Vidéo"
"2020/10/13 4:48:13 PM UTC+1","Homme","16 à 29 ans","56550","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Je ne sais pas","Oui","Oui","Non","Oui","Oui, informations techniques (instruments de mesure, etc.)","Site web"
"2020/10/13 4:53:35 PM UTC+1","Femme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Changements climatiques","Oui","Non","Oui","Je ne sais pas","Oui","Oui, informations générales","Application sur smartphone"
"2020/10/13 4:56:19 PM UTC+1","Femme","> 65 ans","26120","Non","Oui, elle se déplace","Changements climatiques","Oui","Oui","Oui","Oui","Non","Oui, informations générales","Site web"
"2020/10/13 4:56:24 PM UTC+1","Femme","16 à 29 ans","56610","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Oui","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web"
"2020/10/13 5:13:35 PM UTC+1","Homme","30 à 49 ans","59140","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines","Non","Non","Oui","Non","Oui","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Vidéo"
"2020/10/13 5:27:06 PM UTC+1","Homme","50 à 64 ans","56000","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Oui","Oui","Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Site web;Vidéo"
"2020/10/13 5:29:55 PM UTC+1","Homme","30 à 49 ans","66420","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines","Oui","Oui","Je ne sais pas","Non","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone"
"2020/10/13 5:31:09 PM UTC+1","Homme","16 à 29 ans","31360","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Oui","Non","Non","Vidéo"
"2020/10/13 5:36:30 PM UTC+1","Femme","16 à 29 ans","56230","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Oui","Non","Site web"
"2020/10/13 5:42:55 PM UTC+1","Homme","16 à 29 ans","22600 ","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Oui","Oui","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Dépliant;Exposition;Vidéo;Conférence"
"2020/10/13 5:47:18 PM UTC+1","Femme","16 à 29 ans","56000","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Non","Non","Oui, informations générales","Application sur smartphone;Exposition"
"2020/10/13 5:50:01 PM UTC+1","Homme","30 à 49 ans","80230","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Oui","Non","Vidéo"
"2020/10/13 5:58:37 PM UTC+1","Homme","50 à 64 ans","34370 ","Oui","Oui, elle se déplace","Phénomènes naturels;Changements climatiques","Oui","Non","Oui","Non","Non","Non","Site web"
"2020/10/13 6:05:32 PM UTC+1","Homme","16 à 29 ans","92800","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales","Vidéo"
"2020/10/13 6:55:43 PM UTC+1","Femme","50 à 64 ans","56130","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Je ne sais pas","Non","Non","Oui, informations générales","Site web"
"2020/10/13 7:01:43 PM UTC+1","Femme","16 à 29 ans","56860 ","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Oui","Non","Oui, informations générales","Vidéo"
"2020/10/13 7:10:43 PM UTC+1","Homme","16 à 29 ans","62100","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Non","Oui","Oui, informations générales","Site web;Vidéo"
"2020/10/13 7:18:17 PM UTC+1","Femme","50 à 64 ans","31310 ","Non","Oui, elle se déplace","Activités humaines;Changements climatiques","Oui","Non","Oui","Oui","Non","Oui, informations générales","Site web;Dépliant;Vidéo"
"2020/10/13 7:29:09 PM UTC+1","Femme","50 à 64 ans","66000","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Je ne sais pas","Non","Non","Site web"
"2020/10/13 7:32:27 PM UTC+1","Femme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Non","Non","Non","Oui, informations générales","Application sur smartphone;Stand;Dépliant"
"2020/10/13 7:40:11 PM UTC+1","Femme","16 à 29 ans","56700","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Non","Oui","Oui, informations techniques (instruments de mesure, etc.)","Site web;Vidéo"
"2020/10/13 8:06:43 PM UTC+1","Homme","16 à 29 ans","56370","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Oui","Oui, informations générales","Site web"
"2020/10/13 8:07:02 PM UTC+1","Homme","16 à 29 ans","35160","Non","Oui, elle se déplace","Phénomènes naturels;Changements climatiques","Non","Non","Oui","Oui","Non","Oui, informations générales","Site web;Vidéo"
"2020/10/13 8:18:55 PM UTC+1","Femme","16 à 29 ans","42000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Je ne sais pas","Non","Oui, informations générales","Site web;Vidéo;Reportages diffusés sur une chaine type arte"
"2020/10/13 8:44:14 PM UTC+1","Femme","16 à 29 ans","14000","Non","Oui, elle se déplace","Activités humaines;Changements climatiques","Je ne sais pas","Non","Oui","Je ne sais pas","Oui","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web"
"2020/10/13 8:51:28 PM UTC+1","Homme","50 à 64 ans","44120","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Je ne sais pas","Oui","Non","Oui, informations générales","Site web"
"2020/10/13 9:50:09 PM UTC+1","Femme","16 à 29 ans","49000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Oui","Oui, informations générales","Application sur smartphone;Site web"
"2020/10/13 10:44:59 PM UTC+1","Homme","16 à 29 ans","62370","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Je ne sais pas","Oui","Oui","Oui","Non","Oui, informations générales","Site web;Stand;Dépliant;Exposition;Vidéo"
"2020/10/13 11:06:31 PM UTC+1","Homme","16 à 29 ans","22290","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Je ne sais pas","Non","Oui","Non","Oui","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Vidéo"
"2020/10/14 5:25:42 AM UTC+1","Femme","30 à 49 ans","56190","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Je ne sais pas","Non","Oui, informations techniques (instruments de mesure, etc.)","Site web"
"2020/10/14 6:00:28 AM UTC+1","Femme","30 à 49 ans","66720","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Oui","Je ne sais pas","Non","Non","Bof"
"2020/10/14 6:04:05 AM UTC+1","Homme","16 à 29 ans","35140","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Oui","Non","Oui, informations générales","Site web;Vidéo"
"2020/10/14 6:11:42 AM UTC+1","Femme","16 à 29 ans","29000","Non","Je ne sais pas","Activités humaines;Changements climatiques","Oui","Oui","Je ne sais pas","Non","Non","Oui, informations générales","Site web;Vidéo"
"2020/10/14 7:12:19 AM UTC+1","Femme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Je ne sais pas","Non","Je ne sais pas","Oui","Non","Oui, informations générales","Application sur smartphone;Site web;Dépliant"
